  0%|          | 0/1458 [00:00<?, ?it/s][transformers] Casting fp32 inputs back to torch.bfloat16 for flash-attn compatibility.
                                                    
{'loss': '2.491', 'grad_norm': '1.063', 'learning_rate': '5.479e-06', 'epoch': '0.01029'}
{'loss': '2.539', 'grad_norm': '1.09', 'learning_rate': '1.233e-05', 'epoch': '0.02059'}
{'loss': '2.318', 'grad_norm': '1.095', 'learning_rate': '1.918e-05', 'epoch': '0.03088'}
{'loss': '2.034', 'grad_norm': '0.852', 'learning_rate': '2.603e-05', 'epoch': '0.04117'}
{'loss': '1.815', 'grad_norm': '0.5217', 'learning_rate': '3.288e-05', 'epoch': '0.05147'}
{'loss': '1.67', 'grad_norm': '0.667', 'learning_rate': '3.973e-05', 'epoch': '0.06176'}
{'loss': '1.419', 'grad_norm': '0.5132', 'learning_rate': '4.658e-05', 'epoch': '0.07205'}
{'loss': '1.249', 'grad_norm': '0.3943', 'learning_rate': '5.342e-05', 'epoch': '0.08235'}
{'loss': '1.121', 'grad_norm': '0.3683', 'learning_rate': '6.027e-05', 'epoch': '0.09264'}
{'loss': '1.067', 'grad_norm': '0.2905', 'learning_rate': '6.712e-05', 'epoch': '0.1029'}
{'loss': '0.9953', 'grad_norm': '0.2627', 'learning_rate': '7.397e-05', 'epoch': '0.1132'}
{'loss': '0.9313', 'grad_norm': '0.326', 'learning_rate': '8.082e-05', 'epoch': '0.1235'}
{'loss': '0.9478', 'grad_norm': '0.3662', 'learning_rate': '8.767e-05', 'epoch': '0.1338'}
{'loss': '0.8674', 'grad_norm': '0.2698', 'learning_rate': '9.452e-05', 'epoch': '0.1441'}
{'loss': '0.8693', 'grad_norm': '0.2855', 'learning_rate': '0.0001', 'epoch': '0.1544'}
{'loss': '0.8251', 'grad_norm': '0.3325', 'learning_rate': '0.0001', 'epoch': '0.1647'}
{'loss': '0.8354', 'grad_norm': '0.3808', 'learning_rate': '9.998e-05', 'epoch': '0.175'}
{'loss': '0.7709', 'grad_norm': '0.5115', 'learning_rate': '9.997e-05', 'epoch': '0.1853'}
{'loss': '0.699', 'grad_norm': '0.3806', 'learning_rate': '9.994e-05', 'epoch': '0.1956'}
{'loss': '0.782', 'grad_norm': '0.443', 'learning_rate': '9.991e-05', 'epoch': '0.2059'}
{'loss': '0.7221', 'grad_norm': '0.356', 'learning_rate': '9.988e-05', 'epoch': '0.2162'}
{'loss': '0.6905', 'grad_norm': '0.387', 'learning_rate': '9.983e-05', 'epoch': '0.2265'}
{'loss': '0.7427', 'grad_norm': '0.3638', 'learning_rate': '9.978e-05', 'epoch': '0.2367'}
{'loss': '0.7318', 'grad_norm': '0.4598', 'learning_rate': '9.973e-05', 'epoch': '0.247'}
{'loss': '0.6919', 'grad_norm': '0.3984', 'learning_rate': '9.967e-05', 'epoch': '0.2573'}
{'loss': '0.7079', 'grad_norm': '0.4066', 'learning_rate': '9.96e-05', 'epoch': '0.2676'}
{'loss': '0.5549', 'grad_norm': '0.5895', 'learning_rate': '9.952e-05', 'epoch': '0.2779'}
{'loss': '0.648', 'grad_norm': '0.5057', 'learning_rate': '9.944e-05', 'epoch': '0.2882'}
{'loss': '0.5614', 'grad_norm': '0.5004', 'learning_rate': '9.935e-05', 'epoch': '0.2985'}
{'loss': '0.4838', 'grad_norm': '0.6167', 'learning_rate': '9.926e-05', 'epoch': '0.3088'}
